Frame,Camera,Status,PointIdx,X,Y,Radius,Metric
0,0,Raw,0,1230.123,451.843,34.490,0.2582
0,1,Raw,0,270.388,470.862,35.430,0.1012
0,1,Raw,1,209.409,448.384,38.085,0.2849
0,1,Raw,2,429.515,498.635,49.533,0.1577
0,2,Raw,0,1273.542,609.416,39.037,0.1128
0,3,Raw,0,814.241,459.055,33.694,0.1346
0,3,Raw,1,756.722,429.460,36.305,0.4053
0,3,Raw,2,974.899,502.449,49.436,0.2303
1,0,Raw,0,1275.665,465.738,32.954,0.1325
1,1,Raw,0,304.872,463.704,35.578,0.1074
1,1,Raw,1,243.739,451.783,37.473,0.4312
1,1,Raw,2,455.625,461.090,50.426,0.1953
1,3,Raw,0,879.640,456.406,33.262,0.1698
1,3,Raw,1,814.834,438.902,36.188,0.3849
1,3,Raw,2,1047.362,469.133,49.281,0.2309
2,1,Raw,0,363.928,459.474,34.659,0.1195
2,1,Raw,1,299.035,439.696,37.841,0.3792
2,1,Raw,2,470.266,454.039,39.670,0.0650
2,1,Raw,3,535.013,479.941,50.121,0.2152
2,2,Raw,0,1268.029,612.314,46.566,0.1500
2,3,Raw,0,946.203,458.651,33.628,0.0952
2,3,Raw,1,892.877,433.460,36.155,0.4476
2,3,Raw,2,1097.829,495.995,50.127,0.2034
3,1,Raw,0,465.161,477.370,34.687,0.1507
3,1,Raw,1,406.385,446.569,37.969,0.4302
3,1,Raw,2,631.579,524.444,51.417,0.1883
3,2,Raw,0,1144.202,644.674,49.299,0.1656
3,3,Raw,0,1026.401,484.273,33.244,0.0569
3,3,Raw,1,997.736,449.110,36.225,0.3756
3,3,Raw,2,1110.637,543.777,49.438,0.2210
4,0,Raw,0,1233.487,631.433,48.745,0.1887
4,1,Raw,0,744.001,581.851,32.499,0.0680
4,1,Raw,1,600.066,506.703,34.064,0.0752
4,1,Raw,2,560.408,466.605,38.007,0.5023
4,1,Raw,3,627.904,412.596,38.871,0.0509
4,1,Raw,4,715.772,581.040,51.259,0.2390
4,2,Raw,0,1176.203,630.285,33.417,0.0585
4,2,Raw,1,1189.370,627.587,34.829,0.0603
4,2,Raw,2,1240.026,595.941,35.840,0.2595
4,2,Raw,3,1018.524,687.101,49.246,0.1565
4,3,Raw,0,1103.672,480.852,35.877,0.2126
4,3,Raw,1,1104.753,601.888,48.795,0.2133
5,0,Raw,0,1121.865,656.973,47.385,0.1243
5,1,Raw,0,708.298,567.917,35.304,0.0635
5,1,Raw,1,670.151,541.173,37.512,0.3727
5,1,Raw,2,817.442,609.224,50.897,0.2140
5,2,Raw,0,1045.385,678.770,32.234,0.0550
5,2,Raw,1,1107.242,660.766,35.852,0.2694
5,2,Raw,2,872.255,700.141,49.179,0.1349
5,3,Raw,0,1123.841,559.551,35.831,0.2352
5,3,Raw,1,1096.490,634.965,50.331,0.1292
6,0,Raw,0,1195.847,635.279,34.978,0.2982
6,0,Raw,1,1024.159,682.285,47.542,0.1447
6,1,Raw,0,739.450,588.140,37.454,0.2792
6,1,Raw,1,788.901,609.034,37.643,0.0535
6,1,Raw,2,908.637,635.407,51.654,0.1444
6,2,Raw,0,913.318,702.170,33.356,0.0577
6,2,Raw,1,977.811,687.879,35.856,0.2816
6,2,Raw,2,740.866,711.203,49.575,0.1468
6,3,Raw,0,1092.359,609.648,37.057,0.1329
6,3,Raw,1,1088.484,669.050,50.238,0.1331
7,0,Raw,0,1032.551,667.290,35.419,0.2680
7,0,Raw,1,888.354,692.427,47.463,0.1426
7,1,Raw,0,714.328,644.512,37.818,0.3955
7,1,Raw,1,912.191,662.438,52.305,0.1364
7,2,Raw,0,871.404,704.196,35.381,0.2807
7,2,Raw,1,639.667,708.510,51.538,0.0952
7,3,Raw,0,958.020,658.022,36.960,0.1898
7,3,Raw,1,990.763,691.426,51.146,0.0977
8,0,Raw,0,943.816,704.060,35.357,0.2742
8,0,Raw,1,792.552,665.628,48.126,0.1213
8,1,Raw,0,887.508,681.581,31.788,0.0686
8,1,Raw,1,708.621,695.843,37.441,0.2710
8,1,Raw,2,892.667,651.970,52.904,0.1017
8,2,Raw,0,807.086,733.461,35.609,0.2437
8,2,Raw,1,581.909,676.404,49.613,0.1295
8,3,Raw,0,889.861,705.947,35.845,0.0798
8,3,Raw,1,906.231,675.264,52.260,0.1483
9,0,Raw,0,913.208,679.724,35.408,0.2158
9,0,Raw,1,795.093,686.973,48.383,0.1105
9,1,Raw,0,711.217,687.047,35.849,0.0620
9,1,Raw,1,658.412,680.462,38.217,0.3654
9,1,Raw,2,875.091,675.854,53.272,0.1131
9,2,Raw,0,753.350,711.706,32.368,0.0511
9,2,Raw,1,817.052,707.748,35.466,0.2356
9,2,Raw,2,593.557,697.344,49.082,0.0918
9,3,Raw,0,831.322,682.571,36.352,0.1706
9,3,Raw,1,897.670,695.045,51.210,0.1242
10,0,Raw,0,933.572,662.560,35.359,0.2108
10,0,Raw,1,863.678,693.633,49.273,0.1080
10,1,Raw,0,613.336,662.735,37.758,0.2979
10,1,Raw,1,854.430,676.859,53.209,0.1296
10,2,Raw,0,861.538,693.225,34.939,0.3099
10,2,Raw,1,657.594,711.382,50.722,0.1246
10,3,Raw,0,815.330,662.965,36.017,0.2124
10,3,Raw,1,932.326,697.556,50.969,0.1162
11,0,Raw,0,999.269,656.575,34.812,0.2128
11,0,Raw,1,935.237,684.639,48.020,0.0883
11,1,Raw,0,645.772,665.457,36.434,0.0620
11,1,Raw,1,575.954,653.975,38.585,0.2726
11,1,Raw,2,818.681,661.704,51.826,0.1198
11,2,Raw,0,874.082,707.555,32.191,0.0562
11,2,Raw,1,933.857,696.464,35.053,0.2998
11,2,Raw,2,731.415,709.574,48.045,0.1159
11,3,Raw,0,836.899,653.574,36.166,0.1840
11,3,Raw,1,961.544,682.112,50.497,0.1235
12,0,Raw,0,1041.584,625.072,34.828,0.2842
12,0,Raw,1,967.285,684.292,47.920,0.1314
12,1,Raw,0,588.364,643.434,35.033,0.0593
12,1,Raw,1,526.268,621.786,38.364,0.3172
12,1,Raw,2,761.127,666.259,51.487,0.1126
12,2,Raw,0,999.911,671.064,35.664,0.3038
12,2,Raw,1,792.966,714.694,49.784,0.1341
12,2,Raw,2,806.822,741.034,87.897,0.0517
12,3,Raw,0,834.568,618.205,36.013,0.2443
12,3,Raw,1,941.623,678.926,50.194,0.1521
13,0,Raw,0,1049.509,597.009,34.524,0.3061
13,0,Raw,1,977.470,671.985,48.232,0.1575
13,1,Raw,0,513.037,626.269,34.876,0.0678
13,1,Raw,1,450.007,600.029,38.134,0.2877
13,1,Raw,2,683.174,661.221,53.401,0.1244
13,2,Raw,0,1053.310,645.452,35.490,0.2626
13,2,Raw,1,850.785,706.077,49.546,0.1344
13,3,Raw,0,787.496,591.593,36.448,0.2147
13,3,Raw,1,895.615,668.592,49.921,0.1650
14,0,Raw,0,1047.056,583.563,35.180,0.2940
14,0,Raw,1,962.673,651.978,47.881,0.1527
14,1,Raw,0,445.050,617.452,36.108,0.0589
14,1,Raw,1,384.920,591.733,37.661,0.3339
14,1,Raw,2,614.973,650.620,51.320,0.1639
14,2,Raw,0,1091.155,634.300,35.843,0.2739
14,2,Raw,1,883.420,688.556,49.263,0.1216
14,3,Raw,0,743.377,577.320,35.649,0.2846
14,3,Raw,1,837.673,652.284,49.984,0.1559
15,0,Raw,0,1016.297,563.603,35.343,0.2837
15,0,Raw,1,920.652,645.544,47.855,0.2165
15,1,Raw,0,346.616,578.239,37.823,0.2985
15,1,Raw,1,567.043,653.785,52.877,0.1539
15,2,Raw,0,1092.198,612.021,35.550,0.2454
15,2,Raw,1,881.250,678.498,49.083,0.1404
15,3,Raw,0,695.853,561.319,36.492,0.2691
15,3,Raw,1,774.274,647.033,50.992,0.1532
16,0,Raw,0,989.331,551.362,34.548,0.2944
16,0,Raw,1,896.214,642.622,47.931,0.1988
16,1,Raw,0,329.145,570.945,37.637,0.2847
16,1,Raw,1,547.548,655.055,51.891,0.1306
16,2,Raw,0,1083.872,597.798,35.387,0.2319
16,2,Raw,1,873.602,672.988,50.089,0.1395
16,3,Raw,0,664.389,551.902,36.751,0.2610
16,3,Raw,1,741.434,648.611,50.655,0.1511
17,0,Raw,0,937.772,548.961,35.541,0.2652
17,0,Raw,1,879.159,646.591,47.970,0.1867
17,1,Raw,0,324.007,573.383,37.787,0.2520
17,1,Raw,1,554.434,661.974,52.399,0.1148
17,2,Raw,0,1047.476,589.231,35.709,0.2851
17,2,Raw,1,855.506,674.609,48.252,0.1369
17,3,Raw,0,624.140,553.321,36.564,0.2600
17,3,Raw,1,734.517,656.708,50.814,0.1496
18,0,Raw,0,866.417,564.838,34.656,0.2943
18,0,Raw,1,877.655,649.612,48.649,0.1660
18,1,Raw,0,585.557,640.548,31.832,0.0523
18,1,Raw,1,344.949,599.149,37.903,0.2262
18,1,Raw,2,590.028,660.237,52.164,0.1165
18,2,Raw,0,980.590,599.645,35.083,0.2491
18,2,Raw,1,834.841,679.414,48.929,0.1887
18,3,Raw,0,585.955,577.550,37.180,0.2692
18,3,Raw,1,759.804,657.421,50.376,0.1290
19,0,Raw,0,803.614,590.743,35.338,0.2298
19,0,Raw,1,892.517,656.836,48.610,0.1724
19,1,Raw,0,473.691,645.098,34.925,0.0853
19,1,Raw,1,407.380,627.556,38.487,0.2195
19,1,Raw,2,639.652,659.211,51.250,0.1052
19,2,Raw,0,893.332,615.421,35.301,0.3196
19,2,Raw,1,817.126,683.982,48.454,0.1534
19,3,Raw,0,581.560,607.590,36.824,0.2384
19,3,Raw,1,806.555,661.524,50.053,0.1172
20,0,Raw,0,779.402,603.191,34.946,0.2503
20,0,Raw,1,914.284,672.371,48.044,0.1579
20,1,Raw,0,549.692,650.960,34.436,0.0797
20,1,Raw,1,488.929,631.902,38.014,0.2565
20,1,Raw,2,696.849,669.000,51.982,0.1087
20,2,Raw,0,823.044,624.772,36.953,0.1540
20,2,Raw,1,795.373,698.562,47.938,0.1779
20,3,Raw,0,686.256,642.780,33.835,0.0832
20,3,Raw,1,620.214,618.384,36.824,0.2035
20,3,Raw,2,857.783,675.512,50.709,0.1341
21,0,Raw,0,792.231,623.890,35.300,0.2699
21,0,Raw,1,939.089,680.065,47.458,0.1057
21,1,Raw,0,548.825,647.148,38.550,0.2409
21,1,Raw,1,747.547,666.519,49.732,0.0988
21,2,Raw,0,795.525,644.681,36.275,0.1535
21,2,Raw,1,781.427,707.862,48.112,0.1645
21,3,Raw,0,733.163,657.397,33.921,0.0837
21,3,Raw,1,668.620,636.513,36.914,0.2395
21,3,Raw,2,910.867,679.869,50.428,0.1247
22,0,Raw,0,786.746,649.282,35.321,0.2179
22,0,Raw,1,947.015,679.737,48.459,0.1398
22,1,Raw,0,600.406,669.424,38.071,0.2372
22,1,Raw,1,786.650,658.663,50.141,0.1299
22,2,Raw,0,759.613,665.322,34.306,0.1423
22,2,Raw,1,762.173,710.267,49.317,0.1300
22,3,Raw,0,769.363,674.919,33.829,0.0518
22,3,Raw,1,701.336,664.393,37.151,0.2246
22,3,Raw,2,946.376,676.336,49.681,0.1218
23,0,Raw,0,800.031,655.467,32.717,0.0573
23,0,Raw,1,745.383,632.417,35.242,0.2622
23,0,Raw,2,956.484,684.742,48.045,0.1320
23,1,Raw,0,620.784,654.284,38.117,0.2036
23,1,Raw,1,722.219,670.298,53.755,0.1265
23,2,Raw,0,714.679,645.424,34.992,0.2296
23,2,Raw,1,806.053,713.872,48.963,0.1742
23,3,Raw,0,748.708,667.343,34.133,0.0673
23,3,Raw,1,685.714,649.818,37.011,0.2085
23,3,Raw,2,912.184,680.675,48.903,0.0825
24,0,Raw,0,727.989,646.947,34.670,0.2874
24,0,Raw,1,941.632,660.624,48.132,0.1452
24,1,Raw,0,558.663,678.916,38.515,0.1987
24,1,Raw,1,662.646,655.423,54.123,0.1282
24,2,Raw,0,740.246,659.788,35.148,0.1771
24,2,Raw,1,834.051,691.065,48.209,0.1644
24,3,Raw,0,696.779,672.612,34.489,0.0747
24,3,Raw,1,630.403,666.871,37.305,0.2044
24,3,Raw,2,858.740,660.481,50.179,0.1015
25,0,Raw,0,743.540,622.801,35.292,0.2833
25,0,Raw,1,925.685,671.600,48.375,0.1375
25,1,Raw,0,556.790,668.424,34.219,0.0540
25,1,Raw,1,504.978,658.001,38.350,0.2528
25,1,Raw,2,658.928,671.609,52.696,0.1135
25,2,Raw,0,786.238,639.952,34.933,0.1930
25,2,Raw,1,825.006,702.847,48.864,0.1326
25,3,Raw,0,671.880,659.826,34.757,0.0570
25,3,Raw,1,603.900,642.520,36.962,0.2463
25,3,Raw,2,845.355,674.561,50.018,0.1227
26,0,Raw,0,729.862,617.619,35.665,0.2964
26,0,Raw,1,904.763,681.160,48.601,0.1266
26,1,Raw,0,551.155,669.911,33.895,0.0503
26,1,Raw,1,502.384,653.755,37.709,0.2249
26,1,Raw,2,662.534,683.221,52.767,0.1182
26,2,Raw,0,777.124,633.007,35.995,0.2118
26,2,Raw,1,806.028,712.062,47.715,0.1288
26,3,Raw,0,593.198,638.371,36.655,0.2163
26,3,Raw,1,830.966,685.722,50.874,0.1205
27,0,Raw,0,768.652,657.246,33.902,0.0594
27,0,Raw,1,715.573,638.005,35.216,0.3337
27,0,Raw,2,907.636,678.834,48.152,0.1607
27,1,Raw,0,540.045,673.710,38.600,0.2393
27,1,Raw,1,678.981,675.770,54.215,0.1169
