Frame,Camera,Status,PointIdx,X,Y,Radius,Metric
1,2,Raw,0,565.524,621.700,35.160,0.1786
1,2,Raw,1,644.510,672.049,47.188,0.4895
1,1,Raw,0,234.909,692.336,36.524,0.2872
1,1,Raw,1,448.689,727.784,48.683,0.3554
1,3,Raw,0,966.168,633.989,35.298,0.1787
1,3,Raw,1,870.400,681.231,45.950,0.2604
1,0,Raw,0,1116.940,681.493,36.283,0.1385
1,0,Raw,1,916.291,713.079,44.765,0.2938
2,2,Raw,0,597.648,636.882,35.017,0.1530
2,2,Raw,1,665.663,673.811,47.215,0.4397
2,1,Raw,0,274.284,704.513,36.099,0.2544
2,1,Raw,1,483.902,725.953,49.003,0.3564
2,0,Raw,0,1098.854,696.693,35.061,0.1610
2,0,Raw,1,892.494,712.770,44.489,0.3397
2,3,Raw,0,973.382,650.736,36.003,0.1701
2,3,Raw,1,866.948,682.341,46.505,0.2438
0,2,Raw,0,546.739,608.570,35.782,0.1878
0,2,Raw,1,612.790,657.572,46.912,0.4872
0,3,Raw,0,977.075,621.014,36.095,0.1919
0,3,Raw,1,870.751,665.631,46.517,0.2723
0,1,Raw,0,194.276,682.606,36.239,0.2551
0,1,Raw,1,402.202,717.505,48.779,0.3379
0,0,Raw,0,1150.880,670.857,35.579,0.1624
0,0,Raw,1,945.146,699.925,44.607,0.2886
3,2,Raw,0,599.327,636.027,35.286,0.2033
3,2,Raw,1,677.803,677.077,47.118,0.4329
3,1,Raw,0,286.621,703.160,36.604,0.2838
3,1,Raw,1,502.079,728.006,49.038,0.3368
3,0,Raw,0,1083.577,694.494,35.420,0.1485
3,0,Raw,1,880.880,716.185,44.741,0.3156
3,3,Raw,0,963.605,650.044,34.996,0.1687
3,3,Raw,1,865.806,686.155,46.891,0.2373
4,2,Raw,0,615.992,632.467,35.495,0.2127
4,2,Raw,1,699.506,683.676,47.038,0.4446
4,1,Raw,0,306.062,697.552,36.248,0.2778
4,1,Raw,1,523.180,732.445,48.743,0.3482
4,0,Raw,0,1074.209,691.824,36.337,0.1194
4,0,Raw,1,875.483,724.151,44.722,0.2948
4,3,Raw,0,968.586,647.692,35.416,0.1534
4,3,Raw,1,876.601,694.801,46.548,0.2549
5,1,Raw,0,348.865,695.456,36.330,0.2854
5,1,Raw,1,561.167,733.758,48.715,0.3741
5,2,Raw,0,674.475,636.794,35.507,0.1714
5,2,Raw,1,749.128,689.459,47.858,0.4900
5,0,Raw,0,1080.184,702.569,34.919,0.1555
5,0,Raw,1,876.515,735.159,45.423,0.2882
5,3,Raw,0,1010.769,655.708,35.432,0.1429
5,3,Raw,1,910.901,704.306,46.807,0.2582
6,1,Raw,0,399.889,701.288,36.760,0.2997
6,1,Raw,1,613.950,728.427,48.763,0.3713
6,2,Raw,0,734.988,647.907,35.234,0.2274
6,2,Raw,1,813.060,690.611,47.443,0.4740
6,0,Raw,0,1074.803,719.335,35.307,0.2014
6,0,Raw,1,870.601,742.047,45.494,0.3080
6,3,Raw,0,1047.053,671.687,35.875,0.1605
6,3,Raw,1,948.743,710.838,46.522,0.2262
7,1,Raw,0,441.006,709.567,36.386,0.2883
7,1,Raw,1,668.982,727.372,48.732,0.3873
7,2,Raw,0,758.651,659.451,35.101,0.2130
7,2,Raw,1,869.572,696.618,47.269,0.4546
7,0,Raw,0,1042.990,728.980,35.263,0.1816
7,0,Raw,1,853.441,751.094,44.907,0.2989
7,3,Raw,0,1039.457,683.609,36.090,0.1357
7,3,Raw,1,973.748,719.244,46.715,0.2199
8,1,Raw,0,483.683,729.611,36.158,0.2379
8,1,Raw,1,715.186,717.031,49.017,0.3769
8,2,Raw,0,776.970,682.332,36.010,0.2123
8,2,Raw,1,902.011,690.073,47.864,0.3621
8,0,Raw,0,1005.906,748.604,34.807,0.2142
8,0,Raw,1,824.767,745.442,45.087,0.3393
8,3,Raw,0,1023.840,705.802,35.833,0.1634
8,3,Raw,1,974.741,713.770,47.697,0.1805
9,1,Raw,0,512.501,728.502,36.195,0.2644
9,1,Raw,1,732.780,713.740,48.458,0.4315
9,0,Raw,0,1010.640,755.249,34.763,0.2067
9,0,Raw,1,812.097,742.875,45.099,0.2787
9,2,Raw,0,819.978,683.358,36.812,0.1616
9,2,Raw,1,912.564,688.025,47.437,0.3012
9,3,Raw,0,1056.483,711.292,35.632,0.1642
9,3,Raw,1,971.551,712.520,47.029,0.1929
10,1,Raw,0,522.575,710.417,36.409,0.2741
10,1,Raw,1,687.688,722.218,48.766,0.4286
10,0,Raw,0,1049.656,753.265,34.862,0.1745
10,0,Raw,1,830.132,744.894,45.455,0.2347
10,2,Raw,0,870.533,692.039,47.270,0.3564
10,3,Raw,0,1120.787,702.808,35.243,0.2391
10,3,Raw,1,957.123,714.370,46.707,0.2738
11,1,Raw,0,513.163,699.516,36.073,0.1151
11,1,Raw,1,580.006,724.878,48.463,0.3799
11,2,Raw,0,894.050,661.584,36.090,0.2592
11,2,Raw,1,786.286,685.240,46.803,0.3030
11,0,Raw,0,1089.140,750.893,34.476,0.1356
11,0,Raw,1,889.047,735.920,45.130,0.3188
11,3,Raw,0,1165.515,697.125,34.661,0.2456
11,3,Raw,1,944.337,702.413,46.297,0.2697
12,2,Raw,0,866.292,645.147,36.026,0.3446
12,2,Raw,1,692.531,672.508,47.978,0.3935
12,1,Raw,0,460.783,688.152,36.761,0.1954
12,1,Raw,1,440.476,726.679,47.304,0.3277
12,0,Raw,0,1128.680,737.909,34.653,0.1613
12,0,Raw,1,975.557,725.473,44.550,0.2467
12,3,Raw,0,1174.239,680.508,36.345,0.1730
12,3,Raw,1,945.831,687.461,46.604,0.2877
13,2,Raw,0,805.964,621.409,36.076,0.3930
13,2,Raw,1,609.908,648.534,47.504,0.4180
13,1,Raw,0,372.033,672.440,37.397,0.2797
13,1,Raw,1,313.375,713.762,47.770,0.3470
13,0,Raw,0,1185.781,715.019,35.343,0.1408
13,0,Raw,1,1058.986,705.303,43.875,0.2723
13,3,Raw,0,1175.120,654.869,35.907,0.1558
13,3,Raw,1,953.414,660.231,45.901,0.2833
14,2,Raw,0,763.439,601.259,35.427,0.4077
14,2,Raw,1,561.960,626.914,46.870,0.4347
14,0,Raw,0,1230.975,696.672,35.495,0.1053
14,0,Raw,1,1110.999,685.708,43.750,0.2770
14,1,Raw,0,306.598,657.391,35.954,0.2700
14,1,Raw,1,236.125,698.128,47.793,0.3283
14,3,Raw,0,1177.891,633.183,36.149,0.1382
14,3,Raw,1,959.484,637.879,45.593,0.3667
15,2,Raw,0,770.954,605.259,35.710,0.3713
15,2,Raw,1,569.217,635.618,46.919,0.3455
15,1,Raw,0,332.677,660.004,36.319,0.2519
15,1,Raw,1,260.305,705.780,47.569,0.3183
15,3,Raw,0,1165.002,636.278,35.725,0.1381
15,3,Raw,1,946.451,645.648,45.934,0.3547
15,0,Raw,0,1202.882,697.627,36.167,0.1003
15,0,Raw,1,1087.008,691.566,43.719,0.3022
16,2,Raw,0,801.529,609.460,35.551,0.3847
16,2,Raw,1,616.999,675.661,47.606,0.3902
16,1,Raw,0,443.894,655.293,36.159,0.2688
16,1,Raw,1,401.331,735.154,48.293,0.3165
16,3,Raw,0,1099.166,638.875,35.482,0.1975
16,3,Raw,1,879.141,682.677,46.998,0.2967
16,0,Raw,0,1085.225,691.683,34.836,0.1585
16,0,Raw,1,951.814,717.211,45.022,0.3529
17,2,Raw,0,761.586,651.030,35.808,0.2889
17,2,Raw,1,604.090,693.733,47.797,0.3185
17,0,Raw,0,975.289,711.720,34.750,0.1318
17,0,Raw,1,807.987,714.702,44.753,0.3236
17,1,Raw,0,493.839,698.185,36.996,0.1267
17,1,Raw,1,500.855,748.802,48.322,0.3217
17,3,Raw,0,990.921,672.018,35.298,0.2343
17,3,Raw,1,763.591,694.377,47.009,0.2768
18,0,Raw,0,904.959,726.235,34.665,0.1170
18,0,Raw,1,695.019,695.270,44.594,0.3007
18,3,Raw,0,821.363,697.977,35.634,0.2493
18,3,Raw,1,622.561,687.288,46.901,0.3173
18,1,Raw,0,407.893,757.269,37.403,0.1657
18,1,Raw,1,522.770,756.150,48.986,0.2229
18,2,Raw,0,580.047,696.536,36.094,0.2004
18,2,Raw,1,518.870,698.284,48.873,0.1738
19,0,Raw,0,806.344,724.335,34.945,0.1481
19,0,Raw,1,592.487,692.423,45.556,0.1960
19,3,Raw,0,704.375,707.490,35.384,0.2589
19,3,Raw,1,530.226,694.475,46.180,0.3254
19,1,Raw,0,587.042,767.219,49.562,0.1398
19,2,Raw,0,497.574,713.162,49.482,0.2643
20,0,Raw,0,714.343,727.616,34.407,0.1952
20,0,Raw,1,507.956,679.664,45.386,0.2774
20,1,Raw,0,644.084,762.734,49.575,0.2062
20,3,Raw,0,594.919,721.766,34.928,0.1911
20,3,Raw,1,459.479,688.295,46.132,0.2896
20,2,Raw,0,485.002,710.129,47.917,0.2137
21,1,Raw,0,701.013,768.860,50.176,0.1390
21,0,Raw,0,693.019,699.772,34.888,0.1734
21,0,Raw,1,479.524,691.336,44.959,0.3274
21,3,Raw,0,610.043,692.023,35.342,0.2156
21,3,Raw,1,470.818,701.963,47.036,0.2866
21,2,Raw,0,533.090,723.002,48.323,0.2841
22,1,Raw,0,724.574,758.860,49.777,0.2294
22,0,Raw,0,656.823,705.733,34.725,0.1524
22,0,Raw,1,443.544,677.247,45.429,0.2742
22,3,Raw,0,599.461,701.221,35.879,0.1854
22,3,Raw,1,436.351,691.176,46.713,0.2654
22,2,Raw,0,523.843,714.288,47.915,0.3111
23,0,Raw,0,624.441,701.153,34.400,0.1518
23,0,Raw,1,422.835,675.108,44.684,0.3507
23,2,Raw,0,531.419,713.145,36.323,0.2078
23,2,Raw,1,435.724,724.910,48.326,0.2328
23,1,Raw,0,675.725,775.667,47.337,0.1264
23,3,Raw,0,578.817,698.194,35.809,0.2477
23,3,Raw,1,362.994,693.629,46.914,0.2887
24,0,Raw,0,579.577,708.410,35.246,0.1155
24,0,Raw,1,429.141,667.703,44.084,0.2978
24,3,Raw,0,555.997,712.924,35.502,0.1898
24,3,Raw,1,327.611,687.675,47.325,0.2114
24,2,Raw,0,548.621,728.429,35.923,0.2769
24,2,Raw,1,372.539,723.559,48.382,0.3253
24,1,Raw,0,621.034,779.748,49.108,0.1345
25,0,Raw,0,443.832,673.533,43.758,0.3045
25,1,Raw,0,639.326,771.737,37.247,0.1520
25,2,Raw,0,530.136,721.521,36.420,0.3107
25,2,Raw,1,320.804,734.180,48.562,0.2780
25,3,Raw,0,526.844,704.167,35.145,0.1768
25,3,Raw,1,306.001,694.530,47.340,0.2602
26,0,Raw,0,459.252,665.659,43.522,0.3199
26,2,Raw,0,519.098,742.081,36.990,0.2368
26,2,Raw,1,297.934,725.990,48.375,0.2315
26,3,Raw,0,511.224,722.344,35.444,0.1923
26,3,Raw,1,302.299,686.366,46.709,0.2922
27,0,Raw,0,472.618,669.482,43.902,0.2881
27,2,Raw,0,507.145,738.042,36.755,0.2442
27,2,Raw,1,281.078,730.445,48.398,0.2935
27,3,Raw,0,505.070,717.824,35.410,0.1618
27,3,Raw,1,300.557,689.802,46.928,0.2932
28,0,Raw,0,487.828,667.197,43.614,0.2950
28,2,Raw,0,502.419,744.443,36.703,0.2404
28,2,Raw,1,271.684,726.412,47.888,0.2725
28,3,Raw,0,502.295,723.150,35.357,0.1954
28,3,Raw,1,306.784,686.467,46.689,0.3042
29,0,Raw,0,514.129,671.347,43.256,0.2522
29,2,Raw,0,505.998,742.460,36.917,0.1832
29,2,Raw,1,269.892,728.034,48.802,0.2208
29,3,Raw,0,489.880,720.704,35.701,0.1940
29,3,Raw,1,324.750,688.003,46.726,0.2788
31,0,Raw,0,515.757,697.702,35.541,0.1431
31,0,Raw,1,595.086,690.305,44.556,0.2072
31,1,Raw,0,660.053,776.907,38.042,0.1111
31,2,Raw,0,514.807,726.541,36.439,0.1792
31,2,Raw,1,297.739,733.548,48.536,0.2706
31,3,Raw,0,483.283,705.666,36.486,0.1415
31,3,Raw,1,402.204,698.546,44.764,0.2744
30,1,Raw,0,663.349,780.064,37.686,0.1632
30,0,Raw,0,512.760,700.449,35.837,0.1594
30,0,Raw,1,547.056,679.603,44.470,0.1401
30,2,Raw,0,513.976,730.317,36.402,0.2434
30,2,Raw,1,281.590,729.977,48.714,0.2636
30,3,Raw,0,481.075,708.984,35.262,0.2140
30,3,Raw,1,356.694,692.598,46.389,0.2937
32,0,Raw,0,550.216,702.959,34.545,0.1152
32,0,Raw,1,662.239,692.859,44.679,0.3135
32,1,Raw,0,632.508,781.167,36.889,0.1222
32,2,Raw,0,513.153,729.064,36.354,0.2100
32,2,Raw,1,316.559,724.482,48.859,0.3372
32,3,Raw,0,466.387,694.481,45.734,0.2263
33,0,Raw,0,610.566,695.493,35.710,0.1133
33,0,Raw,1,727.940,690.983,44.245,0.2909
33,1,Raw,0,589.326,767.548,38.221,0.1648
33,1,Raw,1,349.340,788.362,48.539,0.1339
33,3,Raw,0,521.786,685.343,45.751,0.2410
33,2,Raw,0,518.809,713.470,36.434,0.2103
33,2,Raw,1,325.586,712.104,47.856,0.3307
34,0,Raw,0,681.004,687.431,35.092,0.1173
34,0,Raw,1,783.699,683.998,44.353,0.2601
34,1,Raw,0,536.991,750.240,36.507,0.2542
34,1,Raw,1,297.798,777.877,48.031,0.1172
34,3,Raw,0,611.709,680.526,35.178,0.1401
34,3,Raw,1,558.476,673.667,45.575,0.2515
34,2,Raw,0,519.814,693.093,36.595,0.2145
34,2,Raw,1,319.185,697.254,47.960,0.3513
35,3,Raw,0,677.233,685.818,36.071,0.1226
35,3,Raw,1,569.643,651.746,45.810,0.3359
35,0,Raw,0,785.551,701.949,35.544,0.1348
35,0,Raw,1,837.434,665.970,44.806,0.2400
35,2,Raw,0,498.801,696.090,36.481,0.1773
35,2,Raw,1,274.491,675.542,47.425,0.3473
35,1,Raw,0,440.251,759.825,36.820,0.2225
35,1,Raw,1,223.415,762.973,49.534,0.1622
36,3,Raw,0,681.545,673.468,35.436,0.1723
36,3,Raw,1,501.068,639.119,45.682,0.2948
36,0,Raw,0,862.278,691.634,35.050,0.1081
36,0,Raw,1,822.732,648.270,43.066,0.2830
36,2,Raw,0,417.512,686.405,35.988,0.2499
36,2,Raw,1,185.348,669.676,47.955,0.3155
36,1,Raw,0,316.159,760.559,37.187,0.2172
36,1,Raw,1,164.260,764.470,48.902,0.1747
37,3,Raw,0,641.860,659.724,35.416,0.2262
37,3,Raw,1,425.864,641.603,46.214,0.4496
37,0,Raw,0,758.937,645.618,42.995,0.3163
37,2,Raw,0,347.971,676.433,35.943,0.2716
37,2,Raw,1,139.210,679.425,47.821,0.2639
37,1,Raw,0,253.841,758.372,36.800,0.1966
38,0,Raw,0,871.665,678.564,34.832,0.1403
38,0,Raw,1,719.216,637.949,43.184,0.3760
38,3,Raw,0,593.477,663.017,35.492,0.2113
38,3,Raw,1,368.289,639.591,46.324,0.3764
38,2,Raw,0,270.774,685.341,35.747,0.2764
38,2,Raw,1,96.998,681.669,48.012,0.2930
38,1,Raw,0,178.920,776.767,49.808,0.1152
39,0,Raw,0,679.800,639.008,43.401,0.3483
39,3,Raw,0,574.726,672.340,35.228,0.2730
39,3,Raw,1,351.561,642.575,46.697,0.3292
39,1,Raw,0,224.930,778.562,48.646,0.1523
39,2,Raw,0,263.277,696.862,36.027,0.2494
39,2,Raw,1,116.969,684.998,48.106,0.3335
40,0,Raw,0,645.730,658.660,43.965,0.3680
40,3,Raw,0,586.927,677.776,35.632,0.2303
40,3,Raw,1,372.342,665.007,46.371,0.3541
40,2,Raw,0,295.159,700.970,36.282,0.2241
40,2,Raw,1,189.149,703.919,48.092,0.2285
41,0,Raw,0,842.190,684.897,33.949,0.1322
41,0,Raw,1,631.646,689.841,44.873,0.2858
41,3,Raw,0,639.642,666.582,35.033,0.2657
41,3,Raw,1,440.842,693.548,46.559,0.2995
41,1,Raw,0,298.190,760.473,36.557,0.1494
41,2,Raw,0,375.042,683.104,36.643,0.1829
41,2,Raw,1,312.324,725.145,47.811,0.2533
42,0,Raw,0,856.435,682.569,35.076,0.1657
42,0,Raw,1,642.608,701.743,44.795,0.3149
42,3,Raw,0,661.407,661.764,35.627,0.1886
42,3,Raw,1,511.322,701.496,46.210,0.3434
42,1,Raw,0,297.200,752.880,36.937,0.2293
42,2,Raw,0,407.851,723.982,48.113,0.3558
43,0,Raw,0,843.744,699.672,34.739,0.1702
43,0,Raw,1,633.121,694.326,44.819,0.2418
43,3,Raw,0,625.978,683.118,35.091,0.1980
43,3,Raw,1,491.807,694.961,46.150,0.3354
43,1,Raw,0,473.194,785.251,48.130,0.1048
43,2,Raw,0,389.698,719.813,47.527,0.3117
44,0,Raw,0,814.668,689.816,34.427,0.2082
44,0,Raw,1,603.927,698.835,44.848,0.1537
44,3,Raw,0,620.911,675.131,35.144,0.2082
44,3,Raw,1,490.069,703.372,46.430,0.3142
44,2,Raw,0,419.934,726.404,48.522,0.3284
45,0,Raw,0,805.934,718.002,35.145,0.1937
45,0,Raw,1,599.265,676.011,44.692,0.2289
45,3,Raw,0,679.835,702.822,35.353,0.2084
45,3,Raw,1,552.421,675.719,46.570,0.2911
45,1,Raw,0,596.876,744.166,49.846,0.2642
45,2,Raw,0,520.352,691.137,47.827,0.2159
46,0,Raw,0,836.540,733.355,35.591,0.1687
46,0,Raw,1,643.919,654.904,44.605,0.2681
46,1,Raw,0,614.856,702.439,49.419,0.2655
46,3,Raw,0,744.217,713.970,35.110,0.2489
46,3,Raw,1,629.957,647.598,46.918,0.3128
46,2,Raw,0,539.951,717.499,37.422,0.1328
46,2,Raw,1,588.356,654.743,47.822,0.2821
47,2,Raw,0,525.960,698.641,36.518,0.1193
47,2,Raw,1,615.845,678.489,47.428,0.2446
47,0,Raw,0,929.658,728.079,34.674,0.2034
47,0,Raw,1,737.740,692.921,44.969,0.3199
47,1,Raw,0,346.251,768.835,36.545,0.1320
47,1,Raw,1,563.390,729.153,49.539,0.3181
47,3,Raw,0,802.566,699.264,35.293,0.2342
47,3,Raw,1,718.516,676.735,47.527,0.2412
48,2,Raw,0,422.036,677.535,35.434,0.2419
48,2,Raw,1,584.255,684.944,48.042,0.4140
48,3,Raw,0,786.708,685.524,46.099,0.3465
48,0,Raw,0,1003.723,704.917,34.448,0.1721
48,0,Raw,1,855.934,710.447,44.246,0.3269
48,1,Raw,0,209.101,759.871,36.830,0.2022
48,1,Raw,1,449.858,743.056,48.959,0.2794
49,3,Raw,0,772.932,682.518,45.924,0.3526
49,2,Raw,0,297.118,647.895,35.329,0.2876
49,2,Raw,1,494.078,685.599,47.774,0.3835
49,0,Raw,0,1022.154,667.365,34.958,0.1418
49,0,Raw,1,918.153,709.879,44.190,0.2958
49,1,Raw,0,95.274,742.111,36.802,0.2638
49,1,Raw,1,332.408,755.868,49.070,0.2357
50,3,Raw,0,700.582,626.533,35.219,0.1058
50,3,Raw,1,764.591,652.267,45.823,0.3659
50,2,Raw,0,224.615,645.373,35.635,0.3001
50,2,Raw,1,429.436,657.881,48.041,0.3459
50,0,Raw,0,1054.594,662.321,35.071,0.1285
50,0,Raw,1,963.995,683.075,44.038,0.2627
50,1,Raw,0,247.052,736.349,48.715,0.3191
51,3,Raw,0,597.298,600.150,34.304,0.2421
51,3,Raw,1,694.284,650.659,46.033,0.4799
51,0,Raw,0,989.237,627.628,35.775,0.1287
51,0,Raw,1,931.033,676.225,44.062,0.2932
51,2,Raw,0,139.585,625.163,36.051,0.2500
51,2,Raw,1,358.563,663.519,47.330,0.4043
51,1,Raw,0,215.693,746.731,48.919,0.3026
52,3,Raw,0,532.036,588.424,34.492,0.2568
52,3,Raw,1,656.119,635.527,46.275,0.4993
52,0,Raw,0,938.455,610.129,36.438,0.1431
52,0,Raw,1,910.808,659.261,43.856,0.3410
52,1,Raw,0,205.755,737.589,48.991,0.2844
52,2,Raw,0,95.885,619.560,35.667,0.2620
52,2,Raw,1,324.383,651.992,48.163,0.3506
53,3,Raw,0,502.020,562.511,35.126,0.2400
53,3,Raw,1,633.687,632.580,46.208,0.5137
53,0,Raw,0,920.560,582.992,34.766,0.1107
53,0,Raw,1,903.913,655.299,43.772,0.3243
53,2,Raw,0,71.159,595.511,35.784,0.2287
53,2,Raw,1,297.725,651.925,47.313,0.3363
53,1,Raw,0,189.539,738.923,48.995,0.2738
54,3,Raw,0,482.586,535.812,34.666,0.2966
54,3,Raw,1,649.114,611.766,46.103,0.4776
54,0,Raw,0,939.181,637.117,44.312,0.4063
54,2,Raw,0,53.958,570.026,35.598,0.2452
54,2,Raw,1,280.669,629.767,47.495,0.3575
54,1,Raw,0,148.664,719.783,48.826,0.3124
55,3,Raw,0,473.405,552.165,34.909,0.2321
55,3,Raw,1,677.792,612.824,45.938,0.4657
55,0,Raw,0,957.520,640.021,44.218,0.5123
55,1,Raw,0,56.082,689.622,36.780,0.2087
55,1,Raw,1,153.351,716.467,48.918,0.1899
55,2,Raw,0,91.857,587.052,35.884,0.3063
55,2,Raw,1,303.992,627.849,47.644,0.3383
56,3,Raw,0,516.683,587.679,34.753,0.2124
56,3,Raw,1,726.199,632.740,46.523,0.3891
56,0,Raw,0,934.929,660.518,44.283,0.4384
56,2,Raw,0,192.091,617.346,35.623,0.3172
56,2,Raw,1,404.763,641.631,47.276,0.3327
56,1,Raw,0,158.873,709.520,37.300,0.2356
56,1,Raw,1,250.220,719.420,49.184,0.1996
57,0,Raw,0,773.181,675.097,34.172,0.1512
57,0,Raw,1,907.884,692.383,44.761,0.3624
